Ngay,Gia mo cua,Gia cao nhat,Gia thap nhat,Gia dong cua,Khoi luong giao dich
5/15/2024,32850,32850,32300,32750,3872800
5/14/2024,32200,32850,32100,32500,4214600
5/13/2024,31800,32250,31300,32000,3373900
5/10/2024,31800,31900,31200,31650,3561300
5/9/2024,31800,32700,31600,31750,5780200
5/8/2024,31000,32150,30500,31700,5303200
5/7/2024,31300,31750,30800,31450,3851600
5/6/2024,29850,31250,29500,31200,6482900
5/3/2024,30300,30300,29350,29400,3957900
5/2/2024,30000,30350,29250,30000,3824600
4/26/2024,29050,30450,29050,30000,3970200
4/25/2024,29700,30000,29150,29400,3440300
4/24/2024,28100,29500,27850,29500,6235900
4/23/2024,28650,28900,27050,27600,4113200
4/22/2024,28900,29050,28200,28700,2522300
4/19/2024,27500,29400,27500,28100,5880600
4/17/2024,30700,30700,28650,28650,4711100
4/16/2024,30000,30350,29300,30350,5269100
4/15/2024,32000,33250,29800,29800,7398600
4/12/2024,31950,32250,31650,32000,2989100
4/11/2024,31200,32300,31150,31900,2722100
4/10/2024,32450,32500,31600,31650,2554900
4/9/2024,32000,32350,31600,32300,2029700
4/8/2024,31600,32400,31300,31700,3618000
4/5/2024,32800,33000,31500,31500,7351500
4/4/2024,34150,34400,33100,33100,5221500
4/3/2024,35050,35200,34250,34250,3897300
4/2/2024,32800,35250,32750,35250,10181700
4/1/2024,33150,33350,32650,32950,3763000
3/29/2024,33000,33700,32900,33150,3228200
3/28/2024,33550,33600,33000,33050,3194600
3/27/2024,33900,33900,33000,33400,2580100
3/26/2024,31900,34050,31850,33900,5040000
3/25/2024,32800,33200,31600,31900,6119700
3/22/2024,33400,33700,32750,33250,5647400
3/21/2024,33300,33400,32600,33250,4064500
3/20/2024,32650,33000,32200,32800,4024600
3/19/2024,32750,33900,31900,32550,5437600
3/18/2024,34600,35800,32200,32550,13916500
3/15/2024,32800,34600,32400,34600,5677900
3/14/2024,32300,33150,31800,32800,4827500
3/13/2024,32200,33000,31800,32300,3673200
3/12/2024,29550,31600,29500,31600,9490400
3/11/2024,29000,30350,29000,29550,5766000
3/8/2024,29600,29800,28500,29000,5529700
3/7/2024,28850,29200,28650,29100,3414800
3/6/2024,29550,29650,28800,28900,3513200
3/5/2024,29500,29950,29350,29700,2287200
3/4/2024,29650,30750,29450,29800,6026300
3/1/2024,28600,29250,28000,29150,4188200
2/29/2024,28900,28900,28150,28600,4998300
2/28/2024,28900,29900,28450,28900,5552600
2/27/2024,28900,29400,28650,28900,3318500
2/26/2024,27500,29100,27300,28800,7028600
2/23/2024,28100,28300,26800,27550,5825900
2/22/2024,28100,28300,27750,27950,2740800
2/21/2024,28250,28500,27700,28150,3976300
2/20/2024,26900,28200,26350,28200,5439800
2/19/2024,26950,28200,26800,26800,5352800
2/16/2024,24900,26650,24850,26650,7573400
2/15/2024,25400,25550,24750,24950,4639300
